25-jährige;25-year-old
 beschäftigen;employ
 Große;Size
 Vorteile;Advantages
 leiden;Suffer
 arbeitete;worked
 bayerische;Bavarian
 passieren;happen
 Regie;director
 übrig;left
 kleines;small
 höchstens;most
 Bemühungen;efforts
 Märkte;markets
 wert;value
 Pfarrer;pastor
 ungefähr;approximately
 zentrale;central
 warnt;warns
 beinahe;nearly
 Microsoft;Microsoft
 vor;in front
 Ort;Place
 Mischung;Mixture
 desto;more
 Vorgehen;Action
 Oper;Opera
 zentralen;central
 sowieso;anyway
 liefert;supplies
 ruft;calls
 Niemand;Nobody
 Weltmeister;World Champion
 Kern;Core
 Beziehung;Relationship
 jüngste;youngest
 aufmerksam;attentively
 seitdem;since
 Reisen;To travel
 führten;led
 Arbeitsmarkt;Labour market
 Fuß;Foot
 bleibe;stay
 leer;empty
 Beobachter;Observer
 vermitteln;convey
 Republikaner;Republican
 Verteidigung;Defense
 überrascht;surprised
 unverändert;unchanged
 Werken;works
 klein;small
 Manche;Some
 öffnen;to open
 schätzt;estimates
 Bus;Bus
 Toten;Kill
 zogen;pulled
 mancher;some
 besitzen;have
 Hotels;hotels
 Rebellen;rebels
 Ausgleich;Compensation
 gefeiert;celebrated
 Ereignis;Event
 Benutzer;User
 erhöhte;increased
 Reuter;Reuter
 Methoden;methods
 Feuerwehr;Fire Department
 angegeben;specified
 Darin;therein
 Reihen;rows
 erzielte;scored
 WM;WM
 übernahm;took over
 Abschied;Farewell
 behalten;to keep
 Lande;land
 nationale;national
 entscheidenden;decisive
 wartet;waiting
 israelische;Israeli
 Universitäten;universities
 Stärke;Strength
 nunmehr;now
 gelegentlich;occasionally
 anzeigen;Show
 verändern;change
 türkische;Turkish
 Bäume;trees
 finanzieren;finance
 Briten;British
 gerät;device
 selben;the same
 Ihrer;Of their
 Vortrag;lecture
 Kommunikation;Communication
 bedeuten;mean
 halt;stop
 Analysten;analysts
 Hongkong;Hong Kong
 schlechter;worse
 Vorbereitung;Preparation
 Katastrophe;Catastrophe
 getrennt;separated
 Figur;Figure
 derart;in such a way
 Schlüssel;Key
 Stücke;pieces
 Bündnis;Alliance
 geschieht;happening
 Liter;Liter
 in;in
 Kraft;Force
 Mauer;Wall
 Erkenntnis;Knowledge
 paßt;matches
 Kongreß;Congress
 Hoffnungen;hopes
 späteren;later
 Marke;Brand
 Kenntnis;knowledge
 Mannes;man
 Umständen;circumstances
 greift;attacks
 saß;sat
 Details;details
 unmöglich;impossible
 Nachrichtenagentur;News Agency
 fragte;asked
 gewiß;certainly
 Belastung;Burden
 namens;called
 beweisen;to prove
 verfügen;feature
 Anschlag;Attack
 Gebieten;areas
 zahlt;pay
 höchst;maximum
 Pressekonferenz;Press conference
 falschen;wrong
 Bundesländer;States
 langfristig;the long term
 schlechten;bad
 Lösungen;Solutions
 gestartet;started
 konkrete;concrete
 Fortsetzung;Continuation
 Bundesrat;Federal Council
 Gesellschaften;companies
 Tendenz;Tendency
 falsche;wrong
 lehnte;rejected
 zuständige;competent
 Helden;heroes
 sichtbar;visible
 Aufmerksamkeit;Attention
 setzten;set
 Stefan;Stefan
 Regen;Rain
 vorne;forward
 lief;ran
 geboten;offered
 solch;such
 Genehmigung;approval
 Milliarde;Billion
 dauern;take
 häufiger;frequently
 Kilogramm;Kilogram
 Bereitschaft;Standby
 Besitzer;Owner
 eigentliche;real
 Partie;lot
 Elisabeth;Elisabeth
 Magistrat;magistrate
 doppelt;double
 Auseinandersetzungen;conflicts
 dich;you
 Kollege;Colleague
 militärischen;military
 ältere;elderly
 fürchten;to fear
 Problemen;problems
 Arten;Species
 diejenigen;those
 Holz;Wood
 Erweiterung;Extension
 Denken;Think
 Bewertung;Rating
 deutliche;clear
 entscheidende;crucial
 Spielen;Play
 Landkreis;District
 Düsseldorfer;Düsseldorf
 informieren;inform
 geringer;lower
 Bundesländern;States
 Variante;Variant
 Schwester;Sister
 Aufsichtsrat;Supervisory Board
 festlegen;establish
 fortgesetzt;continue
 Beteiligten;stakeholders
 Bürgern;citizens
 Schäden;damage
 nein;No
 betreiben;operate
 positiven;positive
 neuen;new
 Bundesländern;States
 übergeben;to hand over
 Frankreichs;France
 Internationale;International
 Zeitschrift;Magazine
 Mitteilung;Message
 Lehre;teaching
 gefördert;promoted
 kleinere;smaller
 geeignet;suitable
 Weihnachten;Christmas
 Umfrage;Survey
 Mieter;tenants
 halb;half
 Berg;Mountain
 Kroatien;Croatia
 Herbert;Herbert
 nochmals;again
 registriert;registered
 Tempo;Tempo
 Spannung;Tension
 Klima;Climate
 Alten;old
 allgemeine;general
 See;Lake
 Bewerber;candidates
 irgendwie;somehow
 Freundin;Girlfriend
 Pflicht;Mandatory
 erweitert;extended
 Papst;Pope
 Widerspruch;contradiction
 teilnehmen;take part
 Trennung;Separation
 welchem;wherein
 erstellt;created
 Nase;Nose
 erklärten;declared
 unterscheiden;differ
 sicherlich;certainly
 Schulden;debt
 senken;reduce
 Herzog;Duke
 entscheidend;substantially
 Stoff;Material
 gerecht;justice
 VW;VW
 besucht;visited
 enttäuscht;disappointed
 Architekten;architects
 Anzeige;Display
 Überlegungen;considerations
 festen;firm
 hessischen;Hessian
 stiegen;rose
 ersetzen;replace
 Aktionäre;shareholders
 verhandelt;negotiated
 zweiter;second
 sorgte;provided
 Otto;Otto
 Privatisierung;Privatization
 Auftakt;prelude
 zweier;two
 richtet;directed
 Einheiten;Units
 Versuche;Tries
 Zellen;cells
 Mengen;Amounts
 beziehen;Respectively
 führende;leading
 Schiff;Ship
 umfaßt;comprises
 Inszenierung;staging
 Begegnung;Encounter
 ähnliche;similar
 Großteil;Large part
 Theorie;Theory
 denke;think
 vermittelt;mediated
 demokratischen;democratic
 Zürich;Zurich
 Stellungnahme;Opinion
 welches;which
 erschossen;shot
 gekauft;Bought
 Maß;measure
 Dienste;Services
 gesperrt;blocked
 Gestalt;Shape
 Stein;Stone
 Neubau;new
 weisen;point
 harten;hard
 forderten;demanded
 feiert;celebrating
 extrem;extreme
 allgemein;general
 voran;Ahead
 Versorgung;Care
 Eis;Ice cream
 billiger;cheaper
 überprüfen;check
 Mannheim;Mannheim
 betrifft;concerns
 verwies;pointed
 Demonstranten;demonstrators
 minus;minus
 mögen;to like
 Notwendigkeit;Need
 überlassen;leave
 lädt;invites
 schicken;Send
 vorhandenen;available
 notwendige;necessary
 Foto;Photo
 Bezeichnung;Designation
 finanziell;financially
 Dank;Thanks
 Schneider;Cutter
 ehe;marriage
 Image;Image
 Belgien;Belgium
 gefährlich;dangerous
 betrieben;operated
 Freiburg;Freiburg
 Steigerung;Increase
 durchschnittlich;average
 Schwerpunkt;Main emphasis
 baut;builds
 elektronischen;electronic
 Rußlands;Russia
 Dokumentation;Documentation
 Ablehnung;rejection
 dargestellt;shown
 geklärt;clarified
 Brücke;Bridge
 dreißig;thirty
 Bewußtsein;Awareness
 glücklich;happy
 alleine;alone
 Einstellungen;settings
 ferner;further
 gewachsen;grown
 empfiehlt;recommends
 errichtet;built
 egal;no matter
 legten;laid
 Einstieg;Started
 beteiligten;involved
 Osteuropa;Eastern Europe
 scheinbar;seemingly
 Reich;Rich
 kostenlos;free
 Anteile;shares
 älteren;older
 geriet;fell
 Ärger;Trouble
 Länge;Length
 Verzicht;waiver
 Elemente;Elements
 gesorgt;provided
 Menschenrechte;Human rights
 weiße;white
 Gestaltung;Layout
 Teams;teams
 gebildet;educated
 ruhig;calm
 Premierminister;Prime minister
 kurzfristig;short term
 Jerusalem;Jerusalem
 Geräte;Equipment
 Mund;Mouth
 Lafontaine;Lafontaine
 Vereins;association
 gefahren;hazards
 Jugoslawien;Yugoslavia
 L;L
 jenseits;beyond
 wechseln;switch
 versuchten;tried
 sank;sank
 samt;velvet
 polnischen;Polish
 Autobahn;Highway
 grüne;green
 gehörten;included
 Herkunft;Origin
 Rückzug;Retreat
 David;David
 Potsdam;Potsdam
 Garten;Garden
 betragen;be
 diskutieren;to discuss
 Architektur;Architecture
 sterben;to die
 Teufel;Devil
 Kommunisten;Communists
 erzielen;achieve
 Verteidigungsminister;Defense
 Fahrzeug;Vehicle
 Bestand;Duration
 Moderne;modern
 John;John
 Institutionen;institutions
 womöglich;if possible
 Lauf;running
 beschränkt;limited
 Glas;Glass
 aufgehoben;canceled
 Szenen;scenes
 wahr;true
 lebenden;living
 auftreten;occur
 Vorfeld;advance
 ansonsten;otherwise
 Transport;Transport
 zeichnet;records
 Strafe;Punishment
 hinten;rear
 jetzigen;present
 neuesten;latest
 Bett;Bed
 bestätigen;to confirm
 gesunken;dropped
 erhielten;received
 Parteitag;Party congress
 Krieges;war
 Verbot;ban
 Beispiele;Examples
 sahen;saw
 Sendung;Broadcast
 verbreitet;disseminated
 erfolgreichen;successful
 Eintritt;Entry
 gezahlt;paid
 Belgrad;Belgrade
 kümmern;To take care of
 zustande;conditions
 Durchschnitt;Average
 Vordergrund;Foreground
 antreten;compete
 teurer;expensive
 Solidarität;Solidarity
 steigern;increase
 wünschen;to wish
 Philosophie;Philosophy
 gesetzlichen;legal
 Ganze;Whole
 Türen;doors
 US-Dollar;US dollar
 Alfred;Alfred
 riesigen;huge
 vergeblich;vain
 zumeist;mostly
 konzentrieren;focus
 Maler;Painter
 raus;Out
 schlicht;simple
 bereitet;prepares
 Hochschule;University
 Bundestrainer;Germany coach
 veranstaltet;organized
 unklar;not clear
 Vorgänge;operations
 großem;large
 Perspektive;Perspective
 bewertet;rated
 Kaiser;Emperor
 breit;wide
 lehnt;rejects
 üblich;common
 Signal;Signal
 maximal;maximum
 Klinik;Clinic
 Käufer;buyer
 Dame;Lady
 entschlossen;determined
 reagierte;responded
 einziger;only
 bestehe;stand
 Auflösung;Resolution
 Forum;Forum
 brachten;brought
 Beine;Legs
 Küche;Kitchen
 Glauben;Believe
 schwierigen;difficult
 Customizing;Customizing
 gelöst;solved
 Griff;Handle
 wahren;true
 Züge;Trains
 akzeptieren;accept
 gemeint;meant
 Betreuung;Care, support
 gestalten;shape
 betrug;amounted to
 inneren;inner
 erteilt;issued
 Ausschuß;Committee
 dreimal;3 times
 Dax;Dax
 Gedichte;poems
 investieren;invest
 verhaftet;arrested
 Yen;Yen
 sowjetischen;Soviet
 Mexiko;Mexico
 vorigen;previous
 abends;in the evening
 Palästinenser;Palestinians
 menschliche;human
 erwiesen;proven
 bot;offered
 Hauptversammlung;Annual General Meeting
 innen;Inside
 Dänemark;Denmark
 militärische;military
 Argument;Argument
 Verantwortlichen;responsible
 Haut;Skin
 Angeklagte;Accused
 Aufwand;Effort
 reine;pure
 Distanz;Distance
 einstellen;to adjust
 Betrieben;operated
 RTL;RTL
 Konjunktur;Economy
 Bernhard;Bernhard
 irgendwo;somewhere
 Park;Park
 sagten;said
 Damen;Ladies
 unterschiedlich;differently
 offizielle;official
 umstrittenen;controversial
 harte;hardness
 Beschäftigte;employees
 Amtszeit;Term of office
 gesellschaftlichen;social
 laufende;ongoing
 Konto;Account
 International;International
 Ursachen;Causes
 im;in the
 übrigen;other
 vorn;front
 ausgezeichnet;excellent
 gelesen;read
 teilen;divide
 akzeptiert;accepted
 absolut;absolute
 bestellt;ordered
 verweist;refers
 vieles;much
 Überzeugung;Conviction
 Vermögen;property
 Politikern;politicians
 schnellen;fast
 denkbar;conceivable
 Fotos;Photos
 gemessen;measured
 freuen;looking forward
 Sprung;jump
 stimmen;be right
 reichlich;plentiful
 Restaurant;Restaurant
 gestrichen;painted
 gewarnt;warned
 achten;respect, think highly of
 abgeben;submit
 Friedrich;Friedrich
 Akten;files
 Küste;Coast
 wirtschaftlich;economically
 jüngst;recently
 berufen;called
 schnelle;fast
 Briefe;letters
 räumte;admitted
 Kaffee;Coffee
 Gelder;funds
 Symbol;Symbol
 Gebühren;Fees
 kleineren;smaller
 Europäer;Europeans
 Johann;Johann
 Interessenten;Interested persons
 entscheidet;decides
 teilt;Splits
 Italiener;Italian
 Parameter;Parameter
 Freunden;Friends
 verschwunden;disappeared
 stecken;stuck
 garantiert;guaranteed
 Zuwachs;Growth
 Gerechtigkeit;Justice
 Rand;Edge
 Angestellten;employees
 Haushalte;Households
 weltweiten;worldwide
 ausgestattet;fitted
 Club;Club
 nieder;low
 bestehende;existing
 einfache;simple
 geschätzt;valued
 UNO;U.N
 B.;B .
 Moskauer;Moscow
 Spekulationen;speculation
 produzieren;to produce
 Mühe;effort
 Phantasie;Imagination
 Berater;consultants
 Medizin;Medicine
 geleistet;made
 stößt;abuts
 Tode;death
 teil;part
 vorwiegend;predominantly
 konzentriert;concentrated
 Umweltschutz;Environmental Protection
 vgl.;see.
 freiwillig;voluntary
 verursacht;caused
 H.;H.
 Alte;Old
 Steuerreform;Tax reform
 FR;FR
 Hafen;Port
 allmählich;gradually
 von;from
 Anfang;Beginning
 an;at
 Wirtschaftsminister;Minister of Economic Affairs
 überzeugen;convince
 Kurden;Kurds
 teils;part
 Diskussionen;discussions
 Vorgänger;Predecessor
 Konzentration;Concentration
 verschiedener;different
 Jahrzehnte;decades
 veröffentlichten;published
 begeistert;excited
 beenden;break up
 Richard;Richard
 Tagesordnung;Agenda
 Fleisch;Meat
 Barcelona;Barcelona
 Schnitt;Cut
 Drogen;drugs
 mitgeteilt;communicated
 leitet;passes
 nachts;at night
 Anwohner;Local residents
 Export;Export
 Regel;Rule
 mittels;means
 besuchen;visit
 Handlung;Action
 erworben;acquired
 brach;broke
 breiten;wide
 Gerät;Device
 Ohren;ears
 konkreten;concrete
 Würde;Would
 gäbe;there
 Ablauf;Procedure
 fließen;flow
 Bezug;Reference
 Ukraine;Ukraine
 Eingang;Entrance
 entschied;decided
 Flugzeug;Plane
 Erkenntnisse;Findings
 Stock;Floor
 aussehen;appearance
 froh;glad
 treibt;drives
 Haben;To have
 einfachen;simple
 gepflegt;groomed
 gestanden;stood
 beitragen;contribute
 Zähler;Counter
 beantragt;applied for
 Gefühle;feelings
 ergab;revealed
 Wesen;beings
 betreibt;operates
 brauche;need
 überprüft;checks
 Auflage;edition
 besetzten;occupied
 Erinnerungen;Memories
 Jazz;Jazz
 untergebracht;housed
 Stern;Star
 Mangel;Defect
 interessant;Interesting
 Tasche;Bag
 Scharping;Scharping
 verschoben;postponed
 Hund;Dog
 Barbara;Barbara
 volle;full
 melden;Report
 d.h.;ie
 Demonstration;Demonstration
 weshalb;why
 berühmten;famous
 Dokument;Document
 Öl;Oil
 EU-Kommission;EU Commission
 anerkannt;accepted
 genannten;mentioned
 berichteten;reported
 echte;real
 DW;DW
 reduzieren;to reduce
 Bundes;Federal
 komplett;complete
 Verbindungen;Links
 Mainz;Mainz
 sprachen;languages
 fliegen;fly
 liebsten;dearest
 folgende;the following
 Maßnahme;Measure
 Konzerns;Group
 Gemeinderat;council
 Hinsicht;respect
 benutzen;use
 richten;judge
 Adresse;Address
 Asylbewerber;Asylum seekers
 eine;a
 Reihe;Line
 von;from
 Ludwigsburg;Ludwigsburg
 Meldung;Report
 Modelle;models
 Schließung;Closure
 Umbau;Modification
 speziell;specifically
 Vaters;father
 verlangte;demanded
 Fachleute;professionals
 Chaos;Chaos
 Zehn;Ten
 abgesehen;apart
 auf;on
 jeden;each
 Fall;Case
 Reaktionen;reactions
 monatlich;monthly
 Operation;Surgery
 geäußert;expressed
 hinnehmen;accept
 gebraucht;second hand
 Krankenkassen;health insurance
 fünfzig;fifty
 bestand;duration
 Report;Report
 Türken;Turks
 Kroaten;Croats
 dachte;thought
 verbindet;links
 Papiere;Papers
 Liga;League
 Mir;Me
 Kombination;Combination
 Studien;studies
 Maße;Dimensions
 einerseits;on the one hand
 Büros;Offices
 Entwicklungen;Developments
 scharf;sharp
 wissenschaftlichen;scientific
 teure;expensive
 ausgebaut;expanded
 teuren;expensive
 Gremium;making body
 Bildschirm;Screen
 Eigenschaften;Characteristics
 Staatsanwalt;Attorney
 Geschwindigkeit;Speed
 optimistisch;optimistic
 innere;inner
 überlegen;consider
 hoffe;hope
 dir;to you
 Sätze;Sentences
 gefaßt;combined
 anhand;based
 formuliert;formulated
 Chinas;China
 räumt;grants
 Ehefrau;Wife
 gewissen;conscience
 morgens;In the morning
 erfassen;capture
 J.;J .
 Stars;Stars
 Absatz;Paragraph
 Sturm;Storm
 begrenzt;limited
 im;in the
 Gegensatz;Contrast
 zu;to
 Eigentümer;Owner
 klagt;complains
 löst;dissolves
 Staatssekretär;Secretary of State
 Ihrem;her
 Militärs;military
 finde;find
 Aufstieg;promotion
 Gebiete;areas
 Genossen;Enjoyed
 Kinkel;Kinkel
 Rente;Pension
 kommende;coming
 Marktanteil;Market share
 Ware;Would
 kämen;come
 ergänzt;added
 Genf;Geneva
 gestaltet;designed
 normale;normal
 Katalog;Catalog
 stünden;stood
 heutige;today
 Veränderung;Change
 Systeme;systems
 vierte;fourth
 Datum;Date
 Arbeitsplätzen;jobs
 Finger;Finger
 Zufall;Coincidence
 Wolf;Wolf
 Standard;Default
 Griechenland;Greece
 Rechtsanwalt;Lawyer
 Unterschiede;Differences
 verschwinden;disappear
 betreut;care
 demnach;therefore
 Dokumente;Documents
 Armut;Poverty
 verfolgen;follow
 erfolgreiche;successful
 Gebrauch;Use
 Steuer;Tax
 Prag;Prague
 zurückzuführen;due
 hinterher;after
 S;S
 Kampagne;Campaign
 Tanz;Dance
 bezieht;refers
 Geburt;Birth
 existiert;exists
 startet;starts
 Hermann;Hermann
 Geheimnis;Secret
 Ansprüche;Claims
 Arm;Poor
 Lange;Long
 wirkte;worked
 Rudolf;Rudolf
 Arme;Poor
 treiben;float
 Umzug;Move
 Verletzung;Injury
 Lasten;loads
 lässt;leaves
 Premier;Premier
 Scheitern;Fail
 unterzeichnet;signed
 Muster;Template
 Lufthansa;Lufthansa
 befand;was
 Sicherung;security
 abgegeben;issued
 gewünschten;desired
 jahrelang;years
 aufgegeben;given up
 abgebaut;reduced
 Masse;Dimensions
 Abzug;deduction
 begrüßt;welcomed
 käme;would
 zitiert;cited
 drücken;to press
 niedriger;lower
 kurzer;short
 kontrolliert;controlled
 Radio;Radio
 verlegt;relocated
 freut;pleased
 erheblichen;substantial
 versprochen;promised
 spezielle;specific
 fünften;fifth
 breite;width
 Verlängerung;Renewal
 Angehörigen;Relatives
 Star;Star
 Gegend;Area
 direkten;direct
 Karte;Map
 Schätzungen;estimates
 letzter;last
 erinnerte;remembered
 Instituts;Institute
 Generalsekretär;Secretary-General
 schauen;watch
 seinerzeit;at that time
 Turnier;Competition
 leichte;light
 i;i
 Technologie;Technology
 Ost;East
 Profis;professionals
 Kiel;Kiel
 engen;tight
 absolute;absolute
 Fritz;Fritz
 Handeln;Act
 Aufschwung;recovery
 Vertretern;representatives
 Nazis;Nazis
 Wilhelm;Wilhelm
 aufgestellt;set
 Kilometern;kilometers
 gesteigert;increased
 Minus;Minus
 Zentrale;central
 Paar;Pair
 Religion;Religion
 österreichischen;Austrian
 Beifall;Applause
 Merkmale;Characteristics
 Grundstück;Property
 halbes;half
 Tschetschenien;Chechnya
 Sarajewo;Sarajevo
 Kurt;Kurt
 Herrschaft;rule
 verbinden;connect
 wissenschaftliche;scientific
 Tier;Animal
 gesenkt;lowered
 Verteidiger;Defender
 Öffnung;Opening
 drohen;threatening
 einziges;one
 umgekehrt;vice versa
 Konflikte;conflicts
 ähnlich;similar
 Baum;Tree
 Kapitän;Captain
 planen;to plan
 U;U
 ots;ots
 betrachten;consider
 Front;Front
 geliefert;delivered
 Gastgeber;Host
 entsprechen;correspond
 Angelegenheit;Matter
 Stadion;Stadion
 trennen;separate
 lebte;lived
 längere;longer
 Gefahren;Hazards
 Produkten;products
 Senkung;reduction
 kritisch;critical
 Anschluß;Connection
 gegenseitig;each other
 Darmstadt;Darmstadt
 wachsenden;growing
 Böblingen;Böblingen
 wuchs;growth
 Spenden;Donate
 zugelassen;authorized
 Lastwagen;Truck
 klären;clarify
 Ulrich;Ulrich
 Schönheit;Beauty
 Antworten;Reply
 Bezirk;District
 Liberalen;Liberals
 Vielzahl;variety
 feststellen;determine
 Abschaffung;Abolition
 in;in
 der;of the
 Tat;Did
 geringen;low
 erkennt;recognizes
 Sozialhilfe;Social care
 Stabilität;Stability
 Einzelheiten;Details
 Orchester;Orchestra
 Deutsch;German
 Sänger;Singer
 durchs;through
 Kämpfe;fights
 Fraktionen;fractions
 klaren;clear
 erzeugen;produce
 vorübergehend;temporarily
 Franc;Franc
 beklagt;complains
 elektronische;electronic
 gibt's;there's
 bezogen;based
 derzeitigen;current
 Graf;Graf
 Unterricht;Classes
 Stadtverwaltung;City Council
 Krankheiten;Diseases
 Kommentar;Comment
 Etat;Budget
 tiefer;lower
 Minderheit;Minority
 Index;Index
 Ankündigung;Announcement
 Brigitte;Brigitte
 eigentlichen;actual
 beigetragen;contributed
 Umsätze;sales
 tat;did
 einstigen;former
 durchgesetzt;enforced
 seither;since
 Aufruf;Call
 rufen;call
 Rumänien;Romania
 Augsburg;Augsburg
 Einladung;Invitation
 gewährt;grants
 bewiesen;proved
 Regelungen;regulations
 West;West
 bricht;breaks
 Landrat;District Administrator
 zugute;benefit
 hingewiesen;pointed
 langer;longer
 versicherte;insured
 streng;strict
 Hunderte;hundreds
 Unterlagen;Documents
 Schlag;shock
 sammeln;collect
 Instrument;Instrument
 Bischof;Bishop
 holte;fetched
 Aussichten;Outlook
 Kredite;loans
 äußern;express
 TV;TV
 Verteilung;Distribution
 achtziger;eighties
 Jahre;years
 Proteste;protests
 hohem;high
 geringe;low
 Bestandteil;Component
 Vorschriften;regulations
 Israels;Israel
 Westdeutschland;West Germany
 Joachim;Joachim
 jederzeit;at any time
 suchte;sought
 Botschafter;Ambassador
 Tageszeitung;Daily newspaper
 Infrastruktur;infrastructure
 ändert;changes
 NATO;NATO
 verlängert;extended
 aller;all
 Welt;World
 geworfen;thrown
 Respekt;Respect
 Subventionen;subsidies
 derartige;such
 lieben;love
 Ring;Ring
 technisch;technically
 Plänen;plans
 angesehen;considered
 englische;English
 Akt;Act
 Vogel;Bird
 sinken;sink
 Mercedes;Mercedes
 Herausforderung;Challenge
 wenden;turn
 hierzu;For this
 Wandel;Change
 Angestellte;employees
 Handwerk;Crafts
 Tote;Dead
 Stoiber;Stoiber
 singen;to sing
 Bekämpfung;fighting
 Ensemble;Ensemble
 Besetzung;Occupation
 belegen;occupy
 perfekt;Perfect
 gemäß;according to
 gesammelt;collected
 Helfer;Helper
 Definition;Definition
 wider;contrary
 versorgt;provided
 Jobs;Jobs
 Show;Show
 Volkes;people
 Verbände;associations
 Bearbeitung;processing
 Flächen;surfaces
 Rainer;Rainer
 empfangen;receive
 konsequent;consequent
 sozusagen;so to speak
 lauter;volume up
 Datenbank;Database
 wohnen;Residence
 Institute;institutions
 dicht;thick
 Delegierten;delegates
 Offenbach;Offenbach
 Alkohol;Alcohol
 eingeleitet;initiated
 vermuten;suspect
 Hanau;Hanau
 ca;ca
 drohte;threatened
 Jan;Jan
 ehemaliger;former
 Erzählung;Narrative
 Uwe;Uwe
 Arbeitslosen;unemployed
 ernsthaft;seriously
 Streik;Strike
 gefällt;like
 Armen;poor
 schaut;looks
 jenem;that
 schuldig;guilty
 erfährt;experiences
 Niederlanden;Netherlands
 Statistik;Statistics
 Kreisen;circles
 Medikamente;drugs
 Bürgerhaus;Town house
 verhandeln;negotiate
 Gegenstand;Object
 Oberfläche;Surface
 befreit;freed
 verhalten;behavior
 griechischen;Greek
 PC;PC
 ermordet;murdered
 amerikanischer;American
 binnen;within
 kulturellen;cultural
 Konsequenz;Consequence
 drängen;pushing
 Heidelberg;Heidelberg
 hab;have
 erläuterte;explained
 City;City
 stärken;strengthen
 anläßlich;on the occasion
 verkündet;proclaimed
 stieß;met
 Gas;Gas
 gezielt;specifically
 Quelle;Source
 Volumen;Volume
 Schaffung;Creation
 Malerei;Painting
 Madrid;Madrid
 Sechs;Six
 K.;K .
 Verpflichtung;Engagement
 handele;IN QUESTION
 Tiefe;Depth
 Stufe;Step
 Mütter;mothers
 Zeilen;lines
 studierte;studied
 engagiert;involved
 verweigert;denied
 eines;one
 Tages;day
 dran;off
 verteidigen;defend
 stelle;location
 Laden;Load
 daneben;Besides
 einzig;only
 Temperaturen;temperatures
 Preisen;prices
 bedient;served
 rechte;right
 rote;Red
 jüdische;Jewish
 Träger;Carrier
 genaue;accurate
 überschritten;exceeded
 Ehre;Honor
 wahre;real
 wieviel;how much
 ausgeführt;performed
 Anträge;applications
 Esslingen;Esslingen
 endete;ended
 Angriffe;attacks
 Chemie;Chemistry
 Serbien;Serbia
 mehrmals;multiple times
 Kleinen;small
 Einsparungen;savings
 einander;each other
 internen;internal
 eigens;specifically
 Sponsoren;sponsors
 Streitkräfte;Armed forces
 leidet;suffering
 vorsichtig;careful
 genauer;more accurate
 Klassen;classes
 Bitte;You're welcome
 darstellen;group
 politisches;political
 Häusern;houses
 Truppe;Force
 bedarf;requirement
 normal;normal
 Telephon;Telephone
 Kassel;Kassel
 Rundfunk;Broadcast
 Schnee;Snow
 Abrechnung;billing
 stoppen;to stop
 damalige;then
 Kriminalität;Crime
 erwarteten;expected
 Thüringen;Thuringia
 örtlichen;local
 Schau;Look
 versehen;Provided
 durchführen;carry out
 speziellen;special
 vollen;full
 Nutzen;Use
 Hinblick;respect
 Tagung;Meeting
 versetzt;offset
 Zuordnung;mapping
 südlich;southern
 D;D
 schätzen;estimate
 Sprachen;Languages
 zurückkehren;to return
 chinesische;Chinese
 riesige;huge
 kämpft;fights
 Stich;Engraving
 Begeisterung;Enthusiasm
 umfassende;comprehensive
 zustimmen;agree
 Bewegungen;movements
 Nürnberger;Nuremberg
 inszeniert;staged
 kritischen;critical
 ökologischen;environmental
 zugestimmt;agreed
 Tour;Trip
 genehmigt;approved
 Ausgang;Exit
 These;Thesis
 Sachen;Stuff
 Mode;Fashion
 Müll;Rubbish
 zufällig;accidental
 zurückgewiesen;rejected
 Absage;Cancellation
 Sand;Sand
 Profil;Profile
 gerufen;established
 Vernunft;Reason
 Unglück;Bad luck
 Entlastung;Discharge
 Korruption;Corruption
 Amsterdam;Amsterdam
 dreht;rotates
 feste;solid
 Zerstörung;Destruction
 Rhein;Rhine
 Mörder;Killer
 fehlte;missing
 Niederlande;Netherlands
 All;Alles
 Tourismus;Tourism
 Lohn;Wage
 durchzusetzen;enforce
 Autorin;author
 zurückgegangen;declined
 Gottes;God
 direkte;direct
 mittleren;middle
 Komponenten;components
 C;C
 Ansatz;Approach
 Einzelhandel;Retail trade
 Element;Element
 live;live
 Historiker;Historian
 frisch;fresh
 kritische;critical
 singt;sings
 Last;Load
 Vielfalt;Diversity
 klassische;classic
 erlitten;suffered
 Moral;Moral
 Beschreibung;Description
 trafen;met
 Schiedsrichter;Referee
 deutsch;German
 Vorsprung;Head Start
 Hitler;Hitler
 kulturelle;cultural
 Sekunde;Second
 Erich;Erich
 größter;utmost
 Kandidat;Candidate
 enge;close
 Fluß;Flow
 ähnlichen;like
 gefolgt;followed
 meistens;mostly
 Gegenüber;Across from
 westdeutschen;West Germany
 passen;fit
 regionalen;regional
 quer;transverse
 Mediziner;physicians
 Günther;Günther
 genießen;enjoy
 Fortschritt;Progress
 Gramm;grams
 essen;eat
 traditionelle;traditional
 Marktwirtschaft;Market economy
 leichten;light
 entwickelten;developed
 ursprünglichen;original
 Militär;Military
 Überraschung;Surprise
 Vision;Vision
 FC;FC
 Bayern;Bavaria
 Norwegen;Norway
 wünscht;wishes
 Stürmer;Striker
 gegenwärtigen;current
 inklusive;included
 Journalist;Journalist
 Station;Station
 sozialistischen;socialist
 Rolf;Rolf
 zuversichtlich;confident
 Zweiten;second
 Weltkrieg;World War II
 geeinigt;agreed
 Ferner;Further
 liebt;loves
 ausgehen;go out
 internationaler;international
 unterscheidet;different
 Museen;Museums
 Affäre;Affair
 serbische;Serbian
 Töne;tones
 intensiv;intensive
